MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO		
1	S68MC0001B	BENG TONG MANSION		16 KING GEORGES AVENUE - SINGAPORE 208558	ACTIVE	63251109	23/10/1968				
2	S68MC0002J	BENG TONG MANSION		203 HOUGANG STREET 21 01-71 SINGAPORE 530203	ACTIVE	62888059	23/10/1968				
3	S68MC0003E	BENG TONG MANSION		251B TANJONG KATONG ROAD - SINGAPORE 437039	ACTIVE	63453007	23/10/1968	MCST			
4	S68MC0004A	BENG TONG MANSION	243B TANJONG KATONG ROAD 428987	23 MOUNT SINAI DRIVE - SINGAPORE 277083	ACTIVE	62654277	23/10/1968	MCST			
5	S68MC0005H	BENG TONG MANSION		253B TANJONG KATONG ROAD - SINGAPORE 437041	ACTIVE		26/10/1968	MCST			
6	S68MC0006D	BENG TONG MANSION		245B TANJONG KATONG ROAD - SINGAPORE 437033	ACTIVE	63440230	26/10/1968	MCST			
7	S68MC0007L	BENG TONG MANSION		241A TANJONG KATONG ROAD - SINGAPORE 437029	ACTIVE	63464776	29/10/1968	MCST			
8	S68MC0008G	BENG TONG MANSION		255 TANJONG KATONG ROAD - SINGAPORE 437043	ACTIVE	63456920	29/10/1968	MCST			
9	S68MC0009C	BENG TONG MANSION		257 TANJONG KATONG ROAD - SINGAPORE 437045	ACTIVE	63457048	29/10/1968	MCST			
10	S68MC0010L	BENG TONG MANSION	259B TANJONG KATONG ROAD 437047	259 TANJONG KATONG ROAD - SINGAPORE 437047	ACTIVE	63456165	29/10/1968	MCST			
11	S69MC0011A	BINJAI PARK	29/A/B BINJAI PARK 589832	29B BINJAI PARK - SINGAPORE 589832	ACTIVE	97605320	13/05/1969	NIL			
12	S69MC0012H		27B BINJAI PARK 589829	27B BINJAI PARK - SINGAPORE 589830	ACTIVE	64654690	13/05/1969	NIL			
13	S69MC0013D		23B BINJAI PARK 589827	23B BINJAI PARK - SINGAPORE 589828	ACTIVE	64665506	13/05/1969	NIL			
14	S69MC0014L		17 BINJAI PARK 589825	17A BINJAI PARK 11-325 SINGAPORE 589825	ACTIVE	96850852	13/05/1969	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
15	S69MC0015G		15B BINJAI PARK 589964	9 BEE SAN AVENUE - SINGAPORE 589964	ACTIVE	64698616	13/05/1969	MCST			
